VENDOR,BILLING_MONTH,VENDOR_PARTNER_NAME,USAGE_ROWS,TOTAL_QUANTITY,TOTAL_AMOUNT,EST_DOLLAR_IMPACT,NORMALIZED_KEY
Acronis,2026-02-01,The Computer Doctors,9,9927.01,657.9476480000001,657.9476480000001,the computer doctor
Bitdefender,2026-07-01,Red Mosquito Ltd,4,1073.0,657.7832,657.7832,red mo quito ltd
Acronis,2026-01-01,The Computer Doctors,9,9851.13,655.107524,655.107524,the computer doctor
Acronis,2026-04-01,Medical Technology Solutions LLC,2,11936.54,650.65943,650.65943,medical technology  olution  llc
Webroot,2026-03-01,Medical Technology Solutions LLC,1,1250.0,650.0,650.0,medical technology  olution  llc
Webroot,2026-02-01,Medical Technology Solutions LLC,1,1250.0,650.0,650.0,medical technology  olution  llc
Webroot,2026-04-01,Medical Technology Solutions LLC,1,1250.0,650.0,650.0,medical technology  olution  llc
Webroot,2026-01-01,Medical Technology Solutions LLC,1,1250.0,650.0,650.0,medical technology  olution  llc
Webroot,2026-05-01,Medical Technology Solutions LLC,1,1250.0,650.0,650.0,medical technology  olution  llc
Auvik,2026-02-01,Terminal B,1,75.0,648.38,648.38,terminal b
Auvik,2026-06-01,Terminal B,1,75.0,648.38,648.38,terminal b
Auvik,2026-04-01,Terminal B,1,75.0,648.38,648.38,terminal b
Auvik,2026-03-01,Terminal B,1,75.0,648.38,648.38,terminal b
Auvik,2026-05-01,Terminal B,1,75.0,648.38,648.38,terminal b
Auvik,2026-07-01,Terminal B,1,75.0,648.32,648.32,terminal b
Acronis,2026-02-01,The Connected Office,6,9479.18,647.422092,647.422092,the connected office
Proofpoint,2026-07-01,Lifeline Technology Solutions,19,565.0,646.4999999999999,646.4999999999999,lifeline technology  olution
KeepIT,2026-07-01,Wavehill IT Solutions,1,859.0,644.25,644.25,wavehill it  olution
ESET,2026-06-01,"ConnectWise, Inc. PSA",1,24750.0,644.159424,644.159424,connectwi e inc p a
Acronis,2026-07-01,"Superior Steel, Inc",2,37056.8,641.66534,641.66534,uperior  teel inc
Proofpoint,2026-06-01,Lifeline Technology Solutions,19,560.0,641.3799999999999,641.3799999999999,lifeline technology  olution
Bitdefender,2026-02-01,Red Mosquito Ltd,4,1076.0,639.6026,639.6026,red mo quito ltd
Proofpoint,2026-05-01,Lifeline Technology Solutions,19,554.0,634.9200000000001,634.9200000000001,lifeline technology  olution
Acronis,2026-04-01,The Connected Office,6,9122.710000000001,634.707627,634.707627,the connected office
Bitdefender,2026-07-01,Medic Cloud,2,557.0,632.8621,632.8621,medic cloud
Bitdefender,2026-08-01,Medic Cloud,2,547.0,629.225,629.225,medic cloud
Acronis,2026-05-01,Terminal B,5,22008.15,628.83342,628.83342,terminal b
