VENDOR,VENDOR_PRODUCT,VENDOR_SKU,CW_SKU,SKU_MATCH_KEY,MAPPING_NOTES,CONTRACT_COST_RATE,CW_RETAIL_RATE
SentinelOne,Ranger,SP-RGR-ND-T2-SA,SA-SP-RGR-ND,RANGER,SA,0.38,
SentinelOne,Ranger,SP-RGR-ND-T2-SA,SwO-3P-CYBR-SOLP-SAAS-NTWKDSCV,RANGER,SwO 3P,0.38,
SentinelOne,Ranger,SP-RGR-ND-T2-SA,SWO-EG-CYBR-SOLP-SAAS-NTWKDSCV,RANGER,SwO EG,0.38,
SentinelOne,Data Retention - 30 Days,PM-RT30-ND-T2-SA,CU-PM-RT30-ND,DATA_RETENTION_30,30 day,0.09,0.09
SentinelOne,Data Retention - 30 Days,PM-RT30-ND-T2-SA,SwO-3P-CYBR-SOLP-SAAS-S1-30RET,DATA_RETENTION_30,SwO 3P,0.09,
SentinelOne,Data Retention - 30 Days,PM-RT30-ND-T2-SA,SWO-EG-CYBR-SOLP-SAAS-S1-30RET,DATA_RETENTION_30,SwO EG,0.09,
SentinelOne,Data Retention - 90 Days,PM-RT90-ND-T2-SA,CU-PM-RT90-ND,DATA_RETENTION_90,90 day,0.18,0.18
SentinelOne,Data Retention - 90 Days,PM-RT90-ND-T2-SA,M2M-CU-PM-RT90-ND,DATA_RETENTION_90,M2M,0.18,
SentinelOne,Data Retention - 90 Days,PM-RT90-ND-T2-SA,SwO-3P-CYBR-SOLP-SAAS-S1-90RET,DATA_RETENTION_90,SwO 3P,0.18,
SentinelOne,Data Retention - 90 Days,PM-RT90-ND-T2-SA,SWO-EG-CYBR-SOLP-SAAS-S1-90RET,DATA_RETENTION_90,SwO EG,0.18,
SentinelOne,Data Retention - 180 Days,PM-RT180-ND-T2-SA,CU-PM-RT180-ND,DATA_RETENTION_180,180 day,0.27,0.27
SentinelOne,Data Retention - 180 Days,PM-RT180-ND-T2-SA,SwO-3P-CYBR-SOLP-SAAS-S1-6MRET,DATA_RETENTION_180,SwO 3P,0.27,
SentinelOne,Data Retention - 180 Days,PM-RT180-ND-T2-SA,SWO-EG-CYBR-SOLP-SAAS-S1-6MRET,DATA_RETENTION_180,SwO EG,0.27,
SentinelOne,Data Retention - 365 Days,PM-RT1Y-ND-T2-SA,CU-PM-RT1Y-ND,DATA_RETENTION_365,365 day,0.36,0.36
SentinelOne,Data Retention - 365 Days,PM-RT1Y-ND-T2-SA,SwO-3P-CYBR-SOLP-SAAS-S1-1YRET,DATA_RETENTION_365,SwO 3P,0.36,
SentinelOne,Data Retention - 365 Days,PM-RT1Y-ND-T2-SA,SWO-EG-CYBR-SOLP-SAAS-S1-1YRET,DATA_RETENTION_365,SwO EG,0.36,
SentinelOne,XDR Ingest Retention 14,PM-XIRT14-GB-T2-SA,UNMAPPED,XDR_INGEST_14,XDR ingest retention 14-day (GB-metered). First appears Jun 2026; no CW SKU today.,10.08,
SentinelOne,Cloud Funnel,PM-CFL-ND-T1-SA,UNMAPPED,CLOUD_FUNNEL,"Cloud Funnel Data Export. Invoiced by SentinelOne, no CW SKU.",0.3,
SentinelOne,Purple AI,PR-AIAST-ND-T1-SA,UNMAPPED,PURPLE_AI,"Purple AI SOC Analyst. Invoiced by SentinelOne, no CW SKU (~4k/mo billed vs ~66k usage per engineering).",0.5,
SentinelOne,Threat Intelligence,PM-TI-ND-T2-SA,UNMAPPED,THREAT_INTELLIGENCE,"Singularity Threat Intelligence. Invoiced by SentinelOne starting Feb 2026, no CW SKU.",0.88,
SentinelOne,WatchTower,SS-WAT-ND-T2-SA,UNMAPPED,WATCHTOWER,Singularity WatchTower / MDR add-on. Appears on Jan and Jun invoices; no CW SKU today.,0.46,
SentinelOne,Singularity Identity,S1ES-IDE-EN-T2-SA,SwO-3P-CYBR-SOLP-SAAS-IDETRESP,SINGULARITY_IDENTITY,SwO 3P,0.95,
