PARTNER_NAME,PARENT_COMPANY,SF_ID,CMS_ID,ZUORA_NAME
South Shore Computer Repair,,ACT-00113646,,Southern IT Networks
Southbank IT,,ACT-00074605,,UniSysCW
Southeastern Computer Associates,,ACT-00133260,,scaatl
Southern IT Networks Ltd,,ACT-00113646,16637,Southern IT Networks
Southwest Office Systems Inc,,ACT-00024717,10992,Southwest Office Systems Inc
Southwest Tech Services,,ACT-00024717,,Southwest Office Systems Inc
SP1 Solutions Limited,,ACT-00248922,22967,Sp1 Solutions Ltd
Spartan eTechnology Labs,,ACT-00194879,,Spartan International Pty Ltd
Spartan International Pty Ltd,,ACT-00194879,,Spartan International Pty Ltd
Specific Gravity Group,,ACT-00238605,13336,Specific Gravity Group
Spectracomm,,ACT-00148377,1159,Spectracomm
Spectrum Technologies,,ACT-00112608,13323,Spectrum Technologies
SpectrumWise,,ACT-00046804,2937,Spectrumwise LLC.
Sphere Integrated Solutions,,ACT-00084528,24473,Sphere Integrated Solutions
Spheroid UK Ltd,,ACT-00143600,17255,Spheroid UK Ltd
Splice,,ACT-00234119,16221,Splice Communications Inc.
SpliceNet,,ACT-00111332,,SpliceNet
Spring Intellect Solutions,,ACT-00288425,,Spring Intellect
"Squarewave Technologies, LLC",,ACT-00202542,,"Squarewave Technologies, LLC"
Stargel Office Solutions,,ACT-00019342,11211,Stargel Office Solutions dba Star Managed Services
StarTech Computing Inc,TD Synnex Corp,ACT-00236917,,StarTech Computing Inc
Steady Networks,,ACT-00156353,,Steady Networks - Acquired by - IT Solutions Consulting
Steel River Techs,,ACT-00053819,9066,Steel River Techs
Stepfar Technology Group,,ACT-00224767,,stepfar
Sterling Technology Solutions,,ACT-00131379,,teamtech
Stevens and Stevens Ltd,,ACT-00225851,993,Stevens and Stevens Ltd
Sting Technologies Inc.,,ACT-00058177,,Sting Technologies Inc.
STL Communications Inc,,ACT-00246846,25290,"STL Communications, Inc."
Storagepipe Solutions,Ingram Micro Canada,ACT-00246111,,Storagepipe
"Storm7 Labs, LLC",,ACT-00063966,,"Storm7 Labs, LLC"
Stormlogix LLC,,ACT-00146543,30110,"Stormlogix, LLC"
Strata Information Technologies Inc,,ACT-00134200,4733,GoodSuite
Strategic Integration Partners,,ACT-00040999,,Strategic Integration Partners
Strategic Intent Consulting Group Inc,,ACT-00040999,,Strategic Integration Partners
Strategic Network Consulting Ltd,,ACT-00178035,,Strategic Network Consulting Ltd
Strategic Vision Inc,,ACT-00040999,,Strategic Integration Partners
Stratify MSP,,ACT-00264412,22625,Stratify MSP
Stratix Systems,,ACT-00205502,,stratix
Stratus IT Group,,ACT-00181469,,StratusPointIT
