VENDOR,PARTNER_NAME,PARENT_COMPANY,SF_ID,CMS_ID,ZUORA_NAME
Acronis,Unique Appliances,,ACT-00252258,27501,
Acronis,CaffComm Systems Inc.,,ACT-00297572,32468,
Acronis,Seiu-Uhw,,ACT-00068325,,
Acronis,"Boston HelpDesk, Inc.",,ACT-00191410,20874,
Acronis,"Midwest Computing Group, Inc.",,ACT-00066411,26098,
Acronis,Northern Saints Catholic Education Trust,,ACT-00018341,,
Acronis,trueITpros,,ACT-00213909,5801,
Acronis,The Ulven Companies,,ACT-00099271,,
Acronis,Lemonov LLC,,ACT-00104319,25165,
Acronis,The Hill Country Tech,,ACT-00253010,25327,
Acronis,Karhu Cyber,,ACT-00289107,26423,
Acronis,Reliable Technology Solutions,,ACT-00078453,26577,
Acronis,IT In Demand,,ACT-00069340,31346,
Acronis,WPG Consulting,,ACT-00250551,22835,
Acronis,Mason Infotech Ltd,,ACT-00076763,24160,
Acronis,Northern Computer,,ACT-00229712,26124,
Acronis,Providence Technology Group,,ACT-00225727,16745,
Acronis,Eos Systems,,ACT-00243957,8529,
Acronis,Prefix Technologies,,ACT-00207844,28288,
Acronis,"Gray Wolf Information Technologies, Inc.",,ACT-00046473,-,
Acronis,CYB3R,,ACT-00296847,500000241,
Acronis,Catapult Tek,,ACT-00146523,19793,
Acronis,Premier Technology LLC,,ACT-00066446,,
Acronis,Business Computer Solutions,,ACT-00015430,22808,
Acronis,"Envision Technology Advisors, LLC",,ACT-00016529,25206,
Acronis,Nex-Tech LLC,,ACT-00237849,16272,
Acronis,Staley Technologies â€“ Cyber & Managed IT Services (HoganTaylor),,ACT-00175494,24798,
Acronis,"Blough Tech, Inc.",,ACT-00133656,21185,
Acronis,Netbox Managed IT Services,,ACT-00079016,500000659,
Acronis,Magoo & Associates LLC,,ACT-00154951,24839,
Acronis,AMS Retail Solutions,,ACT-00157004,-,
Acronis,IT4ME,,ACT-00008091,33149,
Acronis,Xpower-IT,,ACT-00171022,500000600,
