BILLING_MONTH,VENDOR,VENDOR_PARTNER_NAME,VENDOR_PRODUCT_SKU,MODIFIER,QUANTITY,UNIT_PRICE,AMOUNT,CURRENCY
2026-05-01,Acronis,Automated Business Products,SRIAMSENS,US_Master,7.0,0.1725,1.2075,USD
2026-05-01,Acronis,Automated Business Products,SVEAMSENS,US_Master,1229.9,0.0272,33.45328,USD
2026-05-01,Acronis,Avalon Hills,SP4BMSENS,US_Master,1031.2,0.0264,27.22368,USD
2026-05-01,Acronis,Avalon Hills,SPBAMSENS,US_Master,988.87,0.0545,53.893415,USD
2026-05-01,Acronis,Avalon Hills,SRHAMSENS,US_Master,1.0,0.7313,0.7313,USD
2026-05-01,Acronis,Avalon Hills,SRIAMSENS,US_Master,0.0,0.1725,0.0,USD
2026-05-01,Acronis,Axiom,SP4BMSENS,US_Master,5564.33,0.0264,146.898312,USD
2026-05-01,Acronis,Axiom,SPBAMSENS,US_Master,12168.84,0.0545,663.20178,USD
2026-05-01,Acronis,Axiom,SRIAMSENS,US_Master,2.0,0.1725,0.345,USD
2026-05-01,Acronis,B4B Telecoms,SPBAMSENS,UK_GIG,21717.41,0.0545,1183.598845,USD
2026-05-01,Acronis,B4B Telecoms,SPDCMSENS,UK_GIG,587.0,,0.0,USD
2026-05-01,Acronis,B4B Telecoms,SQ2AMSENS,UK_GIG,8292.12,0.0646,535.670952,USD
2026-05-01,Acronis,BB2 Technology Group,SPDAMSENS,US_Master,14016.86,0.0148,207.44952800000002,USD
2026-05-01,Acronis,BB2 Technology Group,SPDCMSENS,US_Master,483.0,,0.0,USD
2026-05-01,Acronis,BB2 Technology Group,SPEAMSENS,US_Master,1.0,10.3731,10.3731,USD
2026-05-01,Acronis,BB2 Technology Group,SPFAMSENS,US_Master,4.0,3.6565,14.626,USD
2026-05-01,Acronis,BB2 Technology Group,SPGAMSENS,US_Master,13.0,1.704,22.152,USD
2026-05-01,Acronis,BB2 Technology Group,SRHAMSENS,US_Master,5.0,0.7313,3.6565,USD
2026-05-01,Acronis,BB2 Technology Group,SRJAMSENS,US_Master,401.0,1.1502,461.23019999999997,USD
2026-05-01,Acronis,BCIT Solutions,SPDAMSENS,AUS_GIG,17777.07,0.0148,263.100636,USD
2026-05-01,Acronis,BCIT Solutions,SPEAMSENS,AUS_GIG,2.0,10.3731,20.7462,USD
2026-05-01,Acronis,BCIT Solutions,SPFAMSENS,AUS_GIG,15.0,3.6565,54.8475,USD
2026-05-01,Acronis,BCIT Solutions,SPGAMSENS,AUS_GIG,10.0,1.704,17.04,USD
2026-05-01,Acronis,BD Managed Services,SP5AMSENS,US5_DEV,0.2,0.0113,0.00226,USD
2026-05-01,Acronis,BD Managed Services,SPBAMSENS,US5_DEV,331.22,0.0545,18.05149,USD
2026-05-01,Acronis,BD Managed Services,SPD5MSENS,US5_DEV,1.0,7.0576,7.0576,USD
2026-05-01,Acronis,BD Managed Services,SPDAMSENS,US5_DEV,18407.38,0.0148,272.429224,USD
2026-05-01,Acronis,BD Managed Services,SPEAMSENS,US5_DEV,3.0,10.3731,31.119300000000003,USD
2026-05-01,Acronis,BD Managed Services,SPFAMSENS,US5_DEV,14.0,3.6565,51.190999999999995,USD
2026-05-01,Acronis,BD Managed Services,SPGAMSENS,US5_DEV,8.0,1.704,13.632,USD
2026-05-01,Acronis,BD Managed Services,SPIAMSENS,US5_DEV,1.0,0.6319,0.6319,USD
2026-05-01,Acronis,BEAR BYTE GmbH,SHJAMSENS,EU8_Master,70.0,0.62475,43.7325,USD
2026-05-01,Acronis,BEAR BYTE GmbH,SO4AMSENS,EU8_Master,77.0,1.3348,102.7796,USD
2026-05-01,Acronis,BEAR BYTE GmbH,SO6AMSENS,EU8_Master,76.0,0.7242,55.039199999999994,USD
2026-05-01,Acronis,BEAR BYTE GmbH,SPDAMSENS,EU8_Master,9918.34,0.0148,146.79143200000001,USD
2026-05-01,Acronis,BEAR BYTE GmbH,SPDCMSENS,EU8_Master,105.0,,0.0,USD
2026-05-01,Acronis,BEAR BYTE GmbH,SPEAMSENS,EU8_Master,3.0,10.3731,31.119300000000003,USD
2026-05-01,Acronis,BEAR BYTE GmbH,SPFAMSENS,EU8_Master,5.0,3.6565,18.2825,USD
