VENDOR,PARTNER_NAME,PARENT_COMPANY,SF_ID,CMS_ID,ZUORA_NAME
Acronis,Serit Ostereng IT,,ACT-00238000,500000766,
Acronis,"HRI Properties, LLC",,ACT-00121826,33161,
Acronis,Advanced Systems,,ACT-00195588,21135,
Acronis,New Level Technology,,ACT-00152102,,
Acronis,National Oak Distributors,,ACT-00110200,,
Acronis,Simple Works IT,,ACT-00237043,25529,
Acronis,The Learning Exchange,,ACT-00239688,,
Acronis,Avalon Hills,,ACT-00225517,,
Acronis,GTech Data LLC,,ACT-00135117,20575,
Acronis,Armagh Cash Register Ltd,,ACT-00128573,24859,
Acronis,TheSoftwareConsultant,,ACT-00018351,24084,
Acronis,TCT Federal Credit Union,,ACT-00263207,,
Acronis,Promethius Consulting,,ACT-00149467,28179,
Acronis,Extech Ltd (1010936),,ACT-00095923,500000207,
Acronis,SIAX COMPUTING SOLUTIONS,,ACT-00009043,300000632,
Acronis,Micro Computer Consulting Inc.,TD Synnex Canada,ACT-00239637,,
Acronis,AMS Retail Solutions,,ACT-00157004,-,
Acronis,Paronubi,,ACT-00117330,,Paronubi
Acronis,NCIT,,ACT-00134188,26055,
Acronis,"Innovative Network, Inc.",,ACT-00067989,,
Acronis,Origami Technology Group,,ACT-00151761,,
Acronis,Associated Time & Parking Controls,,ACT-00113763,-,
Acronis,Prosper IT,,ACT-00006386,21233,
Acronis,SHARKTOOTH NETWORKS INC,,ACT-00153605,32232,
Acronis,Staley Technologies – Cyber & Managed IT Services (HoganTaylor),,ACT-00175494,,Staley Technologies ? Cyber & Managed IT Services
Acronis,"iDiscovery Solutions, Inc",,ACT-00245864,-,
Acronis,Towner Communications,,ACT-00249572,-,
Acronis,"AZComp Technologies, Inc",,ACT-00210127,32593,
Acronis,Complete I.T. Limited,,ACT-00108868,500000084,
Acronis,Virtual Communication Specialists 1,,ACT-00246010,29175,
Acronis,Catapult Tek,,ACT-00146523,19793,
Acronis,Genone Technology Services Inc,,ACT-00245995,,
Acronis,AMS Retail Solutions,,ACT-00157004,20813,
Acronis,Advantech IT Solutions,,ACT-00133809,27439,
Acronis,Custom Solutions,,ACT-00180877,,
Acronis,"Magna5 MS, LLC",,ACT-00118650,32122,
Acronis,Flexxa di Andrea Monguzzi,,ACT-00098437,500000459,
Acronis,Reliant Group,,ACT-00084848,27559,
Acronis,Turner Teleco - Alexandria LA,,ACT-00012919,7913,
Acronis,Mason Infotech Ltd,,ACT-00076763,24160,
Acronis,NCS Network Consulting,,ACT-00236939,26019,
Acronis,"Green Qube, Inc",,ACT-00138376,26897,
Acronis,JointVue,,ACT-00257123,,
Acronis,Louisiana Eye & Laser,,ACT-00263923,-,
Acronis,Leading Technology Europe Ltd,,ACT-00061762,25104,
Acronis,Excel IT,,ACT-00286709,31034,
Acronis,Magoo & Associates LLC,,ACT-00154951,24839,
Acronis,Lighthouse Technology Services,,ACT-00047784,23339,
Acronis,Otero Consulting Group,,ACT-00358119,30355,
Acronis,The Computer Doctors,,ACT-00243659,1658,
Acronis,"Petra Technologies, Inc.",,ACT-00004994,,
Acronis,ABtec Computer Solutions Ltd,,ACT-00187333,22843,
Acronis,Computers Etc,,ACT-00267395,27827,
Acronis,B4B Telecoms,,ACT-00069455,20764,
Acronis,V2 Technology,,ACT-00065554,25168,
Acronis,United Datacom Networks Inc,,ACT-00165050,19283,
Acronis,Network Enginuity,,ACT-00133064,30065,
Acronis,The Ulven Companies,,ACT-00099271,,
Acronis,Homeport Electronics,Ingram Micro,ACT-00240097,-,
Acronis,Balliante Ltd,,ACT-00295105,500000170,
Acronis,Astec IT Consultancy LTD,,ACT-00161329,24163,
Acronis,Enterprise Business IT Solutions Pty Ltd,,ACT-00287422,25296,
Acronis,The Cloud Platform,,ACT-00208415,500001012,
Acronis,"NetWerks Strategic Services, LLC",,ACT-00245388,21206,
Acronis,IT In Demand,,ACT-00069340,21183,
Acronis,Blueshift Computer Technology,,ACT-00148870,30033,
Acronis,trueITpros,,ACT-00213909,5801,
Acronis,Maverick Gardner,,ACT-00275949,26542,
Acronis,"IS Consulting Services, LLC",,ACT-00066601,28009,
Acronis,Torden,,ACT-00249630,28843,
Acronis,Philantech3,,ACT-00230842,,Philantech3
Acronis,ICSI,,ACT-00296553,500000262,
Acronis,Homeport Electronics,Ingram Micro,ACT-00240097,,
Acronis,"Gray Wolf Information Technologies, Inc.",,ACT-00046473,,
Acronis,Cattle Tech Inc,,ACT-00269251,24866,
Acronis,ECTECH LLC,,ACT-00291201,28285,
Acronis,Sanchez Management Corp,,ACT-00270835,31201,
Acronis,Forged IT Services,,ACT-00290152,26631,
Acronis,Simplified Business Solutions,,ACT-00165023,23587,
Acronis,Black Bottle,,ACT-00113285,24020,
Acronis,Blackleaf Solutions LLC,,ACT-00025627,26383,
Acronis,Nitor Solutions+partner,,ACT-00105476,25176,
Acronis,V2 Technology,,ACT-00065554,,
Acronis,Agilico,,ACT-00106185,500000904,
Acronis,Fusion Factor Corporation,,ACT-00145015,-,
Acronis,Uniag Cooperative,,ACT-00275259,-,
Acronis,Oscar Wilson Engine & Parts,,ACT-00318009,-,
Acronis,Cyber Advisors Inc.,,ACT-00224068,24522,
Acronis,Noah Morrison,,ACT-00103409,33960,
Acronis,MobileTech Ltd,,ACT-00270934,26948,
Acronis,rzlynt,,ACT-00259058,24628,
Acronis,"Rapid Domains, Inc.",,ACT-00196486,24768,
Acronis,"AxTech - 887,528",,ACT-00136702,31360,
Acronis,Mission Critical Systems,,ACT-00115799,21554,
Acronis,Williams Technology Pty Ltd,,ACT-00067506,300000172,
Acronis,Fort & Schlegel,,ACT-00202377,,Fort Austin Consulting Group
Acronis,COECO Office Systems,,ACT-00040625,,
Acronis,Staley Technologies â€“ Cyber & Managed IT Services (HoganTaylor),,ACT-00175494,24798,
Acronis,A Tech 4 U,,ACT-00246833,20651,
Acronis,VIcom Virginia Integrated Communications,,ACT-00245864,,
Acronis,Southwest Office Systems Inc,,ACT-00024717,10992,
Acronis,Xpower-IT,,ACT-00171022,500000600,
Acronis,Your IT Department,,ACT-00222035,20452,
Acronis,MBACIO,,ACT-00301391,27712,
Acronis,Abbey Telecom,,ACT-00075562,500000353,
Acronis,IT Automation,,ACT-00181497,24276,
Acronis,Virtual Communication Specialists 1,TD Synnex Corp,ACT-00246010,29175,
Acronis,Quick Fix Network,,ACT-00278157,27213,
Acronis,Twin Pines Technology,,ACT-00263875,,
Acronis,Vermeer Heartland,"Harmonity Technologies, LLC",ACT-00239679,,
Acronis,"GSG Computers, Inc.",Ingram Micro,ACT-00240157,,
Acronis,Prostyle Consulting,,ACT-00046053,30919,
Acronis,Computer Heaven,,ACT-00191379,27962,
Acronis,Advanced Office,,ACT-00195588,,Advanced Systems
Acronis,Five Rivers IT,,ACT-00151042,19214,
Acronis,"Envision Technology Advisors, LLC",,ACT-00016529,25206,
Acronis,"Xpertechs, LLC",,ACT-00158933,32597,
Acronis,Metrix,,ACT-00265102,-,
Acronis,Medical Technology Solutions LLC,,ACT-00150785,25411,
Acronis,BD Managed Services,,ACT-00120914,23372,
Acronis,The Learning Exchange,"Harmonity Technologies, LLC",ACT-00239688,,
Acronis,Bebaios Solutions LLC,,ACT-00067963,27277,
Acronis,"TechnoLogyx, Inc.",,ACT-00104087,,
Acronis,Fusion Factor Corporation,,ACT-00145015,5169,
Acronis,Empower Information Systems,,ACT-00118784,7464,
Acronis,Motion 3 Technology LLC,,ACT-00079178,24288,
Acronis,bdManagedIT,,ACT-00236860,30531,
Acronis,Chris Humphrey Office National,,ACT-00064045,14930,
Acronis,"Utmostit, Inc",,ACT-00020413,27477,
Acronis,Louisiana Eye & Laser,,ACT-00263923,,
Acronis,Hanatechinc,,ACT-00084764,,
Acronis,CHS Networks,,ACT-00084560,24987,
Acronis,"NXC Holdings, LLC",,ACT-00286715,25232,
Acronis,EZ Solutions,,ACT-00420249,30784,
Acronis,BD Managed Services,,ACT-00120914,,
Acronis,Jeff Computers,,ACT-00004890,26335,
Acronis,Athens Micro,,ACT-00123913,21169,
Acronis,DS Network Ltd,,ACT-00317023,28129,
Acronis,"Circle Technologies, Ltd",,ACT-00246156,27039,
Acronis,The IT Bunch,,ACT-00286798,25134,
Acronis,Serit Ostereng IT,ELOVADE Sverige AB,ACT-00238000,500000766,
Acronis,Zenxeon Technologies,,ACT-00260421,29193,
Acronis,Morris Business Solutions,,ACT-00168279,18463,
Acronis,Shamsa Global LLC,,ACT-00269711,27308,
