VENDOR,CW_SKUS,DETAIL_ROWS,VENDOR_AMT
Bitdefender,"Bitdefender ATS & EDR (MDR bundle split),Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Security Gravity Zone (Usage)",39,6773.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender Advanced Threat Security,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender EDR (MSP Secure)",34,22033.0
Bitdefender,Bitdefender Cloud Sec GravityZone 500 to 749 ep,31,23356.0
Bitdefender,"Bitdefender ATS & EDR, 1000-4999 ep,Bitdefender Cloud Security Gravity Zone",30,114299.0
Bitdefender,"Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Sec GravityZone 1 to 99 ep",27,1938.0
Bitdefender,Bitdefender Cloud Sec GravityZone 1000-2499 ep,26,28444.0
Bitdefender,Bitdefender Cloud Sec GravityZone 250 to 499 ep,25,11573.0
Bitdefender,Bitdefender Security for Mobile,25,387.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender Advanced Threat Security,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender Patch Management",25,115894.0
Bitdefender,"Bitdefender ATS & EDR (MDR bundle split),Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender EDR (MSP Secure)",24,3852.0
Bitdefender,"Bitdefender ATS & EDR, 100-499 ep,Bitdefender Cloud Security Gravity Zone,Bitdefender GravityZone Email Security, 100-499",21,15421.0
Bitdefender,"Bitdefender ATS & EDR (MDR bundle split),Bitdefender Cloud Encryption,Bitdefender Cloud Sec GravityZone (MDR bundle split)",18,16020.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Cloud Security Gravity Zone,Bitdefender GravityZone Email Security, 1-99",16,3356.0
Bitdefender,TA-Bitdefender EDR (MSP Secure),16,6460.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Cloud Encryption (1-99 ep),Bitdefender Cloud Security Gravity Zone",16,5576.0
Bitdefender,"Bitdefender ATS & EDR, 500-999 ep,Bitdefender Cloud Security Gravity Zone",16,26672.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Advanced Threat Security 100-499 ep,Bitdefender Cloud Security Gravity Zone",16,14171.0
Bitdefender,"Bitdefender Cloud Encryption (1-99 ep),Bitdefender Cloud Sec GravityZone 1 to 99 ep",16,1033.0
Bitdefender,"Bitdefender ATS & EDR (MDR bundle split),Bitdefender Cloud Encryption,Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Security Gravity Zone (Usage)",15,10013.0
Bitdefender,"Bitdefender Advanced Threat Security,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender EDR (MSP Secure)",15,29084.0
