VENDOR,CW_SKU,SKU_MATCH_KEY,CONTRACT_COST_RATE,VENDOR_UNIT_PRICE,CW_UNIT_PRICE
Acronis,ACB-USD-M00-TASRIAMSEN,SRIAMSENS,0.1725,0.55,1.3
Acronis,APP-BC-SRIAMSENS,SRIAMSENS,0.1725,0.55,1.3
Acronis,BB-ACRONIS-ADV-PROTECTION-BUNDLE,SRIAMSENS,0.1725,1.45,2.47
Acronis,M2M-APP-BC-SRIAMSENS,SRIAMSENS,0.1725,0.55,1.3
Acronis,SRIAMSENS,SRIAMSENS,0.1725,0.55,1.3
Acronis,TASRIAMSEN,SRIAMSENS,0.1725,0.55,1.3
Acronis,ACB-USD-M00-TASRJAMSEN,SRJAMSENS,1.1502,1.24,2.86
Acronis,APP-BC-SRJAMSENS,SRJAMSENS,1.1502,1.24,2.86
Acronis,BB-ACRONIS-WORKLOAD-BUNDLE,SRJAMSENS,1.1502,0.011,0.06
Acronis,M2M-APP-BC-SRJAMSENS,SRJAMSENS,1.1502,1.24,2.86
Acronis,SRJAMSENS,SRJAMSENS,1.1502,1.24,2.86
Acronis,TASRJAMSEN,SRJAMSENS,1.1502,1.24,2.86
Acronis,APP-SA-SRJGMSENS,SRJGMSENS,0.831,0.7455,2.15
Acronis,M2M-APP-SA-SRJGMSENS,SRJGMSENS,0.831,0.7455,2.15
Acronis,SRJGMSENS,SRJGMSENS,0.831,0.7455,2.15
Acronis,APP-SRMAMSENS,SRMAMSENS,0.6674,0.6,1.56
Acronis,SRMAMSENS,SRMAMSENS,0.6674,0.6,1.56
Acronis,APP-SA-SRXAMSENS,SRXAMSENS,0.2575,0.6745,2.21
Acronis,SRXAMSENS,SRXAMSENS,0.2575,0.6745,2.21
Acronis,APP-BC-SUVAMSENS,SUVAMSENS,0.0149,0.018,0.06
Acronis,M2M-APP-BC-SUVAMSENS,SUVAMSENS,0.0149,0.018,0.06
Acronis,SUVAMSENS,SUVAMSENS,0.0149,0.018,0.06
Acronis,TASUVAMSEN,SUVAMSENS,0.0149,0.018,0.06
Acronis,3PARTYONPREMHOSTEDDR,SVEAMSENS,0.0272,0.032,0.08
