VENDOR,VENDOR_PRODUCT,VENDOR_SKU,CW_SKU,SKU_MATCH_KEY,MAPPING_NOTES,CONTRACT_COST_RATE,CW_RETAIL_RATE
Webroot,SAEP,1000062533,WRS-USD-M06-TBWRSECGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-USD-M06-TBWRSECGSM,,
Webroot,SECA,1000063234,WRS-UKD-M01-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-UKD-M01-TAWEBRTSAT,,
Webroot,SECA,1000063234,WRS-USD-M03-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-USD-M03-TAWEBRTSAT,,
Webroot,BUNDLE,1000062533|1000063236|1000063234,WRS-USD-M03-TBGSMDNSSA,BUNDLE,CW product=WRS-USD-M03-TBGSMDNSSA; not a direct one-to-one OpenText invoice line,,
Webroot,SAEP,1000062533,WRS-EUD-M06-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-EUD-M06-TASEWRSGSM,,
Webroot,SAEP,1000062533,WRS-UKD-M04-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-UKD-M04-TASEWRSGSM,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,M2MLISAS200303000768,NON_WEBROOT_PRODUCT_TAGGED,CW product=M2M-ConnectWise Continuity Fixed Cloud Complete Essential-2000-Svr 512-768GB; not a direct one-to-one OpenText invoice line,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,CULICSAS20030300SVRT,NON_WEBROOT_PRODUCT_TAGGED,CW product=Continuity Fixed Cloud Complete Essential-2000-Svr TC; not a direct one-to-one OpenText invoice line,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,M2MLISAS200303000100,NON_WEBROOT_PRODUCT_TAGGED,CW product=M2M-ConnectWise Continuity Backup Fixed Cloud Complete Essential-2000-Svrs upto 100; not a direct one-to-one OpenText invoice line,,
Webroot,SAEP,1000062533,SEWRSGSM5000,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere GSM Key 5000-9999  EPs,,
Webroot,GSM,GSM,WRSECGSM500,WEBROOT_GSM,GSM 500-999,0.65,
Webroot,OTHER_WEBROOT_TAGGED,,3PARTYONPREMWRSECHTG,OTHER_WEBROOT_TAGGED,CW product=Webroot SecureAnywhereGSMKey HTG Pricing; not a direct one-to-one OpenText invoice line,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,M2MLISAS200302000256,NON_WEBROOT_PRODUCT_TAGGED,CW product=M2M-ConnectWise Continuity Backup Fixed Cloud Complete-Elite-2000-Server 100-256GB; not a direct one-to-one OpenText invoice line,,
Webroot,SAEP,1000062533,WRS-UKD-M03-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-UKD-M03-TASEWRSGSM,,
Webroot,SAEP,1000062533,WRS-CAD-M05-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-CAD-M05-TASEWRSGSM,,
Webroot,OTHER_WEBROOT_TAGGED,,SEWRSBMP750,OTHER_WEBROOT_TAGGED,CW product=Webroot SecureAnywhere BMP 750-999 End of Life; not a direct one-to-one OpenText invoice line,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,CULSAS200401000NOSB,NON_WEBROOT_PRODUCT_TAGGED,CW product=ConnectWise Continuity Backup No Cloud - Essential 2000 Server; not a direct one-to-one OpenText invoice line,,
Webroot,SAEP,1000062533,WRS-USD-M05-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-USD-M05-TASEWRSGSM,,
Webroot,SAEP,1000062533,M2MSAAS3002315EPPRMM,GSM,OpenText Core Endpoint Protection | CW product=M2M-Webroot Endpoint Protection non-RMM-11-01-2015,,
Webroot,SECA,1000063234,WRS-EUD-M01-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-EUD-M01-TAWEBRTSAT,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,CULIC-SAAS100702004T,NON_WEBROOT_PRODUCT_TAGGED,CW product=ConnectWise Command Networks Performance (Total Cost); not a direct one-to-one OpenText invoice line,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,CULSAAS20040100NOSVT,NON_WEBROOT_PRODUCT_TAGGED,CW product=ConnectWise Recover Continuity No Cloud - Essential 2000 Server TC; not a direct one-to-one OpenText invoice line,,
Webroot,SECA,1000063234,SEWRSSAT2500,SAT,OpenText Core Security Awareness Training | CW product=Webroot SecureAnywhere SecAwarenessTrain 2500-4999,0.02,0.54
Webroot,SAEP,1000062533,SEWRSGSM1000,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere GSM Key 1000-2499  EPs,,
Webroot,SDNS,1000063236,WSADNSPSTANDAL-00250,DNS,OpenText Core DNS Protection | CW product=Webroot SecureAnywhere DNS - 250-499 EPs,0.42,1.11
Webroot,SAEP,1000062533,SEWRSBEP20000,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere BEP 20000+,,
Webroot,SECA,1000063234,SEWRSSAT750,SAT,OpenText Core Security Awareness Training | CW product=Webroot SecureAnywhere SecAwarenessTrain 750-999,0.02,0.67
Webroot,BUNDLE,1000062533|1000063236|1000063234,WRS-UKD-M03-TBGSMDNSSA,BUNDLE,CW product=WRS-UKD-M03-TBGSMDNSSA; not a direct one-to-one OpenText invoice line,,
Webroot,SAEP,1000062533,SwO-IH-CYBR-SOLP-SAAS-ENDPPRMM,GSM,OpenText Core Endpoint Protection | CW product=SwO Webroot Endpoint Protection- for CW RMM,0.41,0.63
Webroot,SAEP,1000062533,WRS-CAD-M07-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-CAD-M07-TASEWRSGSM,,
Webroot,SAEP,1000062533,CMS-IH-CYBR-SOLP-SAAS-MDRSERVR,GSM,OpenText Core Endpoint Protection | CW product=CMS Webroot Endpoint Protection-(MDR) Server,0.52,2.1
Webroot,SAEP,1000062533,WRS-UKD-M01-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-UKD-M01-TASEWRSGSM,,
Webroot,GSM,GSM,SEWRSGSM10,WEBROOT_GSM,SE-tier GSM 10-49,0.85,
Webroot,SDNS,1000063236,WSADNSPSTANDAL-00100,DNS,OpenText Core DNS Protection | CW product=Webroot SecureAnywhere DNS - 100-249 EPs,0.42,1.24
Webroot,SAEP,1000062533,WRS-UKD-M07-TASEWRSGSM,GSM,OpenText Core Endpoint Protection | CW product=WRS-UKD-M07-TASEWRSGSM,,
Webroot,SAEP,1000062533,SEWRSGSM2500,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere GSM Key 2500-4999  EPs,,
Webroot,SAEP,1000062533,M2MRMM-WR-EEP-OVERAG,GSM,OpenText Core Endpoint Protection | CW product=M2M-Webroot Endpoint Protection - Overage for CW RMM,,
Webroot,OTHER_WEBROOT_TAGGED,,3PARTYONPREMWRTBMP1Y,OTHER_WEBROOT_TAGGED,CW product=Webroot Internal IT BMP 1 Year; not a direct one-to-one OpenText invoice line,,
Webroot,SDNS,1000063236,WSADNSP-IIT,DNS,OpenText Core DNS Protection | CW product=Webroot GSM integrated Webroot SecureAnywhere DNS - IIT,,
Webroot,BUNDLE,1000062533|1000063236|1000063234,WRS-CAD-M05-TBGSMDNSSA,BUNDLE,CW product=WRS-CAD-M05-TBGSMDNSSA; not a direct one-to-one OpenText invoice line,,
Webroot,BUNDLE,1000062533|1000063236|1000063234,WRS-USD-M01-TBGSMDNSSA,BUNDLE,CW product=WRS-USD-M01-TBGSMDNSSA; not a direct one-to-one OpenText invoice line,,
Webroot,SDNS,1000063236,WSADNSPSTANDALONEIIT,DNS,OpenText Core DNS Protection | CW product=Webroot SecureAnywhere DNS IIT,,
Webroot,SDNS,1000063236,WSADNSPSTANDAL-01000,DNS,OpenText Core DNS Protection | CW product=Webroot SecureAnywhere DNS - 1000-2499 EPs,0.42,0.89
Webroot,SECA,1000063234,WRS-AUD-M01-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-AUD-M01-TAWEBRTSAT,,
Webroot,SAEP,1000062533,WRSECGSM250,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere GSM Key 250-499,0.52,1.32
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,CULICSAS200303000768,NON_WEBROOT_PRODUCT_TAGGED,CW product=ConnectWise Continuity Backup Fixed Cloud Complete Essential-2000-Svr 512-768GB; not a direct one-to-one OpenText invoice line,,
Webroot,SECA,1000063234,WRS-AUD-M03-TAWEBRTSAT,SAT,OpenText Core Security Awareness Training | CW product=WRS-AUD-M03-TAWEBRTSAT,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,CULISAAS20030200DKTP,NON_WEBROOT_PRODUCT_TAGGED,CW product=ConnectWise Continuity Backup Fixed Cloud Complete-Elite-2000-Desktop Elite; not a direct one-to-one OpenText invoice line,,
Webroot,BUNDLE,1000062533|1000063236|1000063234,WRS-USD-M06-TBGSMDNSSA,BUNDLE,CW product=WRS-USD-M06-TBGSMDNSSA; not a direct one-to-one OpenText invoice line,,
Webroot,SAEP,1000062533,SEWRSBEP2500,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere BEP 2500-4999,,
Webroot,SAEP,1000062533,SEWRSBEP750,GSM,OpenText Core Endpoint Protection | CW product=Webroot SecureAnywhere BEP 750-999,,
Webroot,NON_WEBROOT_PRODUCT_TAGGED,,CULICSAS200303000100,NON_WEBROOT_PRODUCT_TAGGED,CW product=ConnectWise Continuity Backup Fixed Cloud Complete Essential-2000-Svrs upto 100; not a direct one-to-one OpenText invoice line,,
